Date (M/D/YYYY),Time (H:MM:SS),Top. azimuth angle (eastward from N),Top. elevation angle (corrected)
1/1/2018,0:00:00,6.903625,-62.040705
1/1/2018,1:00:00,34.194514,-58.682108
1/1/2018,2:00:00,55.562663,-51.978571
1/1/2018,3:00:00,71.833821,-43.492319
1/1/2018,4:00:00,85.016848,-34.228866
1/1/2018,5:00:00,96.593313,-24.775779
1/1/2018,6:00:00,107.519260,-15.529023
1/1/2018,7:00:00,118.441008,-6.821602
1/1/2018,8:00:00,129.823948,1.308426
1/1/2018,9:00:00,141.989132,7.692904
1/1/2018,10:00:00,155.077783,12.603822
1/1/2018,11:00:00,168.979881,15.518925
1/1/2018,12:00:00,183.307711,16.157760
1/1/2018,13:00:00,197.504657,14.455375
1/1/2018,14:00:00,211.068090,10.581795
1/1/2018,15:00:00,223.733565,4.902503
1/1/2018,16:00:00,235.514692,-2.439589
1/1/2018,17:00:00,246.643319,-10.714153
1/1/2018,18:00:00,257.507646,-19.706455
1/1/2018,19:00:00,268.646991,-29.086888
1/1/2018,20:00:00,280.828074,-38.503717
1/1/2018,21:00:00,295.218994,-47.493141
1/1/2018,22:00:00,313.585052,-55.307446
1/1/2018,23:00:00,337.783316,-60.672657
1/2/2018,0:00:00,6.660041,-61.965590
1/2/2018,1:00:00,33.940692,-58.645567
1/2/2018,2:00:00,55.340553,-51.969505
1/2/2018,3:00:00,71.644737,-43.497912
1/2/2018,4:00:00,84.851156,-34.240050
1/2/2018,5:00:00,96.442207,-24.786365
1/2/2018,6:00:00,107.376386,-15.534328
1/2/2018,7:00:00,118.302165,-6.817615
1/2/2018,8:00:00,129.686896,1.324059
1/2/2018,9:00:00,141.853794,7.725946
1/2/2018,10:00:00,154.946567,12.656045
1/2/2018,11:00:00,168.857479,15.591414
1/2/2018,12:00:00,183.199662,16.249542
1/2/2018,13:00:00,197.415035,14.563419
1/2/2018,14:00:00,210.997942,10.701789
1/2/2018,15:00:00,223.681140,5.028828
1/2/2018,16:00:00,235.476704,-2.305489
1/2/2018,17:00:00,246.616007,-10.577228
1/2/2018,18:00:00,257.487090,-19.568111
1/2/2018,19:00:00,268.628599,-28.947961
1/2/2018,20:00:00,280.804965,-38.364873
1/2/2018,21:00:00,295.178378,-47.355679
1/2/2018,22:00:00,313.501935,-55.175342
1/2/2018,23:00:00,337.621788,-60.556634
1/3/2018,0:00:00,6.418912,-61.882458
1/3/2018,1:00:00,33.684004,-58.601126
1/3/2018,2:00:00,55.113260,-51.953141
1/3/2018,3:00:00,71.450128,-43.496711
1/3/2018,4:00:00,84.680268,-34.244708
1/3/2018,5:00:00,96.286399,-24.790487
1/3/2018,6:00:00,107.229340,-15.533080
1/3/2018,7:00:00,118.159716,-6.806880
1/3/2018,8:00:00,129.546896,1.346151
1/3/2018,9:00:00,141.716321,7.766179
1/3/2018,10:00:00,154.814239,12.715705
1/3/2018,11:00:00,168.735195,15.671412
1/3/2018,12:00:00,183.093066,16.348703
1/3/2018,13:00:00,197.328138,14.678503
1/3/2018,14:00:00,210.931589,10.828331
1/3/2018,15:00:00,223.633335,5.161153
1/3/2018,16:00:00,235.443969,-2.165892
