Latitude (decimal degrees): 50.846
Longitude (decimal degrees): 4.343
Elevation (m): 21.0
month,year
1,2020
2,2015
3,2006
4,2008
5,2008
6,2011
7,2017
8,2011
9,2011
10,2006
11,2019
12,2014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20200101:0000,1.4,94.08,0.0,-0.0,0.0,253.83,2.45,116.0,103143.0
20200101:0100,1.27,93.8,0.0,-0.0,0.0,251.85,2.46,135.0,103063.0
20200101:0200,1.13,93.53,0.0,-0.0,0.0,249.87,2.47,148.0,103013.0
20200101:0300,0.99,93.26,0.0,-0.0,0.0,247.9,2.48,149.0,102973.0
20200101:0400,0.85,92.98,0.0,-0.0,0.0,245.92,2.49,143.0,102913.0
20200101:0500,0.72,92.71,0.0,-0.0,0.0,243.94,2.5,140.0,102864.0
20200101:0600,0.58,92.44,0.0,-0.0,0.0,241.96,2.5,145.0,102873.0
20200101:0700,0.44,92.17,0.0,-0.0,0.0,239.99,2.51,144.0,102933.0
20200101:0800,-0.46,92.1,13.0,49.55,11.0,239.1,2.21,169.0,102963.0
20200101:0900,0.34,92.0,101.0,266.67,61.0,246.05,1.93,179.0,102963.0
20200101:1000,2.39,87.25,205.0,616.37,64.0,242.95,1.86,180.0,103003.0
20200101:1100,3.82,81.45,252.0,659.86,73.0,243.5,2.14,180.0,102993.0
20200101:1200,4.89,78.5,255.0,662.68,73.0,255.1,2.55,182.0,102923.0
20200101:1300,5.46,77.6,218.0,662.09,60.0,256.45,2.76,185.0,102864.0
20200101:1400,5.62,78.15,139.0,567.23,45.0,278.8,2.83,189.0,102824.0
20200101:1500,5.02,82.0,37.0,328.69,17.0,270.7,2.48,197.0,102814.0
20200101:1600,3.88,87.3,0.0,-0.0,0.0,270.9,2.62,205.0,102834.0
20200101:1700,3.47,89.85,0.0,-0.0,0.0,291.15,2.69,206.0,102854.0
20200101:1800,2.91,92.95,0.0,-0.0,0.0,278.8,2.69,201.0,102834.0
20200101:1900,2.06,92.9,0.0,-0.0,0.0,289.6,2.69,191.0,102834.0
20200101:2000,2.01,92.8,0.0,-0.0,0.0,302.15,2.76,193.0,102814.0
20200101:2100,1.84,93.6,0.0,-0.0,0.0,297.5,2.48,193.0,102804.0
20200101:2200,1.94,93.5,0.0,-0.0,0.0,309.45,2.07,185.0,102784.0
20200101:2300,2.05,93.65,0.0,-0.0,0.0,312.0,2.07,177.0,102754.0
20200102:0000,2.28,93.5,0.0,-0.0,0.0,317.95,2.07,177.0,102714.0
20200102:0100,2.57,93.5,0.0,-0.0,0.0,321.85,2.07,176.0,102664.0
20200102:0200,2.94,93.45,0.0,-0.0,0.0,326.45,2.14,170.0,102624.0
20200102:0300,3.28,93.6,0.0,-0.0,0.0,327.6,2.34,166.0,102594.0
20200102:0400,3.57,93.9,0.0,-0.0,0.0,327.4,2.55,167.0,102544.0
20200102:0500,3.95,93.75,0.0,-0.0,0.0,331.05,2.76,170.0,102494.0
20200102:0600,4.28,93.85,0.0,-0.0,0.0,330.5,2.9,176.0,102474.0
20200102:0700,3.2,93.25,0.0,-0.0,0.0,326.25,2.9,183.0,102455.0
20200102:0800,3.42,94.2,11.0,24.55,10.0,319.5,2.97,182.0,102435.0
20200102:0900,4.15,93.2,56.0,19.91,53.0,331.25,3.1,182.0,102425.0
20200102:1000,4.89,92.1,101.0,34.83,93.0,331.25,3.17,184.0,102415.0
20200102:1100,5.61,90.9,104.0,11.01,101.0,331.25,3.17,184.0,102385.0
20200102:1200,6.4,88.7,111.0,18.1,106.0,338.2,4.55,192.0,102285.0
20200102:1300,6.68,89.2,69.0,0.0,69.0,338.6,4.69,196.0,102185.0
20200102:1400,6.82,90.05,45.0,0.0,45.0,340.7,4.0,194.0,102135.0
20200102:1500,6.71,92.0,13.0,0.0,13.0,340.7,4.0,194.0,102105.0
20200102:1600,6.68,93.55,0.0,-0.0,0.0,341.1,4.21,196.0,102066.0
20200102:1700,6.77,94.25,0.0,-0.0,0.0,340.9,4.48,198.0,102056.0
20200102:1800,6.95,93.75,0.0,-0.0,0.0,339.55,4.62,199.0,102016.0
20200102:1900,6.94,94.15,0.0,-0.0,0.0,335.7,4.83,192.0,101946.0
20200102:2000,7.34,93.85,0.0,-0.0,0.0,344.95,5.24,197.0,101916.0
20200102:2100,7.65,93.5,0.0,-0.0,0.0,344.0,5.31,204.0,101876.0
20200102:2200,7.9,92.1,0.0,-0.0,0.0,342.25,5.38,207.0,101886.0
20200102:2300,8.06,91.95,0.0,-0.0,0.0,338.4,5.72,210.0,101846.0
20200103:0000,8.35,91.7,0.0,-0.0,0.0,348.6,5.93,214.0,101766.0
20200103:0100,8.45,91.6,0.0,-0.0,0.0,350.0,5.86,217.0,101706.0
20200103:0200,8.48,91.55,0.0,-0.0,0.0,349.6,5.79,219.0,101657.0
20200103:0300,8.39,91.2,0.0,-0.0,0.0,349.6,5.66,218.0,101607.0
20200103:0400,8.28,90.4,0.0,-0.0,0.0,348.8,5.72,215.0,101547.0
